horizon,coefficient,std_error,n_obs,measure,panel_file,t_pre
11,-1.6453595056789492,0.11177305188089379,37648,leverage,mTransitionPanel_52.csv,52
12,NA,NA,36382,leverage,mTransitionPanel_52.csv,52
13,NA,NA,35147,leverage,mTransitionPanel_52.csv,52
0,0.3500760477126916,0.03651450478640334,54115,default_distance,mTransitionPanel_52.csv,52
1,0.6629654658907561,0.06003512455648976,52388,default_distance,mTransitionPanel_52.csv,52
2,0.9833180839077816,0.08292382128646845,50710,default_distance,mTransitionPanel_52.csv,52
3,1.2108630650692251,0.09391749979127388,49089,default_distance,mTransitionPanel_52.csv,52
4,1.4112699168702076,0.1028546287453405,47516,default_distance,mTransitionPanel_52.csv,52
5,1.6363783782309442,0.10620518106072088,45991,default_distance,mTransitionPanel_52.csv,52
6,1.7594216495523025,0.11135995640917672,44508,default_distance,mTransitionPanel_52.csv,52
7,1.879198270864689,0.11755687256222509,43061,default_distance,mTransitionPanel_52.csv,52
8,1.9336674125279534,0.12531486264509498,41650,default_distance,mTransitionPanel_52.csv,52
9,2.0070009747341735,0.12810352363643582,40273,default_distance,mTransitionPanel_52.csv,52
10,1.9067649784192278,0.12291402584436872,38944,default_distance,mTransitionPanel_52.csv,52
11,1.6476973318246484,0.11194337835781423,37648,default_distance,mTransitionPanel_52.csv,52
12,NA,NA,36382,default_distance,mTransitionPanel_52.csv,52
13,NA,NA,35147,default_distance,mTransitionPanel_52.csv,52
0,-0.32254703522601863,0.035784457348626286,58423,leverage,mTransitionPanel_60.csv,60
1,-0.5829097147885623,0.058285268258571735,56688,leverage,mTransitionPanel_60.csv,60
2,-0.7934717383442413,0.0810166689353625,55005,leverage,mTransitionPanel_60.csv,60
3,-0.9932874028278519,0.09688619400946616,53359,leverage,mTransitionPanel_60.csv,60
4,-1.2137534106638714,0.10550146779559613,51747,leverage,mTransitionPanel_60.csv,60
5,-1.383798939300284,0.1281906731267113,50172,leverage,mTransitionPanel_60.csv,60
6,-1.5635623263709824,0.134371288897235,48626,leverage,mTransitionPanel_60.csv,60
7,-1.7359771876303192,0.1386099082276243,47117,leverage,mTransitionPanel_60.csv,60
8,-1.837766144417213,0.145730388464128,45658,leverage,mTransitionPanel_60.csv,60
9,-1.865720354600515,0.15012035942347132,44235,leverage,mTransitionPanel_60.csv,60
10,-1.7700014594472218,0.14926822298630815,42847,leverage,mTransitionPanel_60.csv,60
11,-1.5467441358402145,0.13105807971423472,41501,leverage,mTransitionPanel_60.csv,60
12,NA,NA,40184,leverage,mTransitionPanel_60.csv,60
13,NA,NA,38901,leverage,mTransitionPanel_60.csv,60
0,0.32497111251201616,0.0359061963653275,58423,default_distance,mTransitionPanel_60.csv,60
1,0.5854834080364658,0.05842712533536259,56688,default_distance,mTransitionPanel_60.csv,60
2,0.7960516100122883,0.08118906189940994,55005,default_distance,mTransitionPanel_60.csv,60
3,0.9959574263625363,0.09707867765439843,53359,default_distance,mTransitionPanel_60.csv,60
4,1.2166850108343084,0.10570701010337286,51747,default_distance,mTransitionPanel_60.csv,60
5,1.3867867510453515,0.12843468296494606,50172,default_distance,mTransitionPanel_60.csv,60
6,1.5664972554166177,0.13460928521249219,48626,default_distance,mTransitionPanel_60.csv,60
7,1.7390345125245743,0.1388380786735228,47117,default_distance,mTransitionPanel_60.csv,60
8,1.8406389732094122,0.14594946476318726,45658,default_distance,mTransitionPanel_60.csv,60
9,1.8684695226661496,0.15034360276944336,44235,default_distance,mTransitionPanel_60.csv,60
10,1.7726034956411703,0.14945564529482835,42847,default_distance,mTransitionPanel_60.csv,60
11,1.5488214176838138,0.1311965612039275,41501,default_distance,mTransitionPanel_60.csv,60
12,NA,NA,40184,default_distance,mTransitionPanel_60.csv,60
13,NA,NA,38901,default_distance,mTransitionPanel_60.csv,60
0,-0.30134350081574884,0.04051967129170473,59436,leverage,mTransitionPanel_68.csv,68
1,-0.5772676920573222,0.07342064356027389,57730,leverage,mTransitionPanel_68.csv,68
2,-0.8656980414216939,0.09887458702919719,56069,leverage,mTransitionPanel_68.csv,68
3,-1.1909000092360005,0.11750166974405216,54448,leverage,mTransitionPanel_68.csv,68
4,-1.422411631667378,0.1303761497294183,52867,leverage,mTransitionPanel_68.csv,68
5,-1.6517349469580183,0.14170086775709784,51326,leverage,mTransitionPanel_68.csv,68
6,-1.8047628890543106,0.1433481702876418,49834,leverage,mTransitionPanel_68.csv,68
7,-1.9143839945236243,0.14831704168583973,48379,leverage,mTransitionPanel_68.csv,68
8,-2.00144531331051,0.1531472480777242,46957,leverage,mTransitionPanel_68.csv,68
